Episode,Reward,Epsilon,Success
134,-14.099506947362702,0.01,1
135,-6.039657620548715,0.01,1
136,-7.718143129958772,0.01,1
137,-6.435419241250187,0.01,1
138,-6.846814969924095,0.01,1
139,-6.039657620548715,0.01,1
140,-6.318143129958774,0.01,1
141,-6.039657620548715,0.01,1
142,-6.318143129958774,0.01,1
143,-6.318143129958774,0.01,1
144,-6.188483840515229,0.01,1
145,-6.318143129958774,0.01,1
146,-9.354123182567594,0.01,1
147,-3.1575398207989798,0.01,1
148,-3.718143129958774,0.01,1
149,-14.099506947362702,0.01,1
150,-21.892436902512603,0.01,1
151,-8.140469730551011,0.01,1
152,-14.099506947362702,0.01,1
153,-14.099506947362702,0.01,1
154,-5.518143129958774,0.01,1
155,-3.4548633773772073,0.01,1
156,-14.099506947362702,0.01,1
157,-5.518143129958774,0.01,1
158,-14.099506947362702,0.01,1
159,-15.72254736103391,0.01,1
160,-14.099506947362702,0.01,1
161,-14.099506947362702,0.01,1
162,-3.388483840515229,0.01,1
163,-5.244311650603848,0.01,1
164,-14.099506947362702,0.01,1
165,-3.718143129958774,0.01,1
166,-14.099506947362702,0.01,1
167,-4.85766269549856,0.01,1
168,-14.099506947362702,0.01,1
169,-14.099506947362702,0.01,1
170,-14.099506947362702,0.01,1
171,-3.4548633773772073,0.01,1
172,-14.099506947362702,0.01,1
173,-5.244311650603848,0.01,1
174,-3.4548633773772073,0.01,1
175,-5.244311650603848,0.01,1
176,-3.4548633773772073,0.01,1
177,-5.244311650603848,0.01,1
178,-5.244311650603848,0.01,1
179,-14.099506947362702,0.01,1
180,-14.099506947362702,0.01,1
181,-3.754863377377207,0.01,1
182,-14.099506947362702,0.01,1
183,-3.754863377377207,0.01,1
184,-4.544311650603848,0.01,1
185,-3.754863377377207,0.01,1
186,-1.35753982079898,0.01,1
187,-3.754863377377207,0.01,1
188,-4.544311650603848,0.01,1
189,-3.388483840515229,0.01,1
190,-3.754863377377207,0.01,1
191,-3.4548633773772073,0.01,1
192,-1.0332667128862094,0.01,1
193,-3.754863377377207,0.01,1
194,-3.718143129958774,0.01,1
195,-2.520196276120086,0.01,1
196,-1.967933814143331,0.01,1
197,-3.754863377377207,0.01,1
198,-1.0332667128862094,0.01,1
199,-3.754863377377207,0.01,1
200,-3.754863377377207,0.01,1
201,-3.754863377377207,0.01,1
202,-3.754863377377207,0.01,1
203,-4.463594491050938,0.01,1
204,-4.544311650603848,0.01,1
205,-1.967933814143331,0.01,1
206,-1.967933814143331,0.01,1
207,-3.754863377377207,0.01,1
208,-3.754863377377207,0.01,1
209,-3.754863377377207,0.01,1
210,-3.754863377377207,0.01,1
211,-3.754863377377207,0.01,1
212,-3.754863377377207,0.01,1
213,-6.188483840515229,0.01,1
214,-3.754863377377207,0.01,1
215,-3.754863377377207,0.01,1
216,0.452963131592806,0.01,1
217,-1.967933814143331,0.01,1
218,-1.0332667128862094,0.01,1
219,-1.967933814143331,0.01,1
220,-1.967933814143331,0.01,1
221,-1.967933814143331,0.01,1
222,-1.967933814143331,0.01,1
223,0.452963131592806,0.01,1
224,-1.967933814143331,0.01,1
225,-1.967933814143331,0.01,1
226,-1.967933814143331,0.01,1
227,-1.967933814143331,0.01,1
228,-1.967933814143331,0.01,1
229,-1.967933814143331,0.01,1
230,-1.967933814143331,0.01,1
231,-1.967933814143331,0.01,1
232,-2.6635944910509384,0.01,1
233,-1.967933814143331,0.01,1
234,-1.967933814143331,0.01,1
235,-1.967933814143331,0.01,1
236,-1.967933814143331,0.01,1
237,-4.000798970390225,0.01,1
238,-1.967933814143331,0.01,1
239,-1.967933814143331,0.01,1
240,-1.967933814143331,0.01,1
241,-1.967933814143331,0.01,1
242,-3.754863377377207,0.01,1
243,-1.967933814143331,0.01,1
244,-1.967933814143331,0.01,1
245,-1.967933814143331,0.01,1
246,-1.967933814143331,0.01,1
247,-1.547036868407194,0.01,1
248,-3.754863377377207,0.01,1
249,-1.967933814143331,0.01,1
250,-1.547036868407194,0.01,1
251,-1.547036868407194,0.01,1
252,-20.893932956968914,0.01,1
253,-13.243826350677473,0.01,1
254,-1.547036868407194,0.01,1
255,-1.547036868407194,0.01,1
256,0.452963131592806,0.01,1
257,-25.272028680290262,0.01,1
258,0.452963131592806,0.01,1
259,0.452963131592806,0.01,1
260,0.452963131592806,0.01,1
261,0.452963131592806,0.01,1
262,-1.967933814143331,0.01,1
263,0.452963131592806,0.01,1
264,0.452963131592806,0.01,1
265,0.452963131592806,0.01,1
266,0.452963131592806,0.01,1
267,0.452963131592806,0.01,1
268,0.452963131592806,0.01,1
269,0.4206775186196712,0.01,1
270,0.452963131592806,0.01,1
271,0.452963131592806,0.01,1
272,0.452963131592806,0.01,1
273,0.452963131592806,0.01,1
274,0.452963131592806,0.01,1
275,-1.967933814143331,0.01,1
276,-1.7064333571137444,0.01,1
277,-1.967933814143331,0.01,1
278,0.452963131592806,0.01,1
279,0.452963131592806,0.01,1
280,0.452963131592806,0.01,1
281,0.452963131592806,0.01,1
282,-8.054611263178463,0.01,1
283,-1.547036868407194,0.01,1
284,0.452963131592806,0.01,1
285,-1.8207172113757677,0.01,1
286,-7.608543432557509,0.01,1
287,0.4206775186196712,0.01,1
288,-4.040000787589873,0.01,1
289,0.452963131592806,0.01,1
290,0.452963131592806,0.01,1
291,0.452963131592806,0.01,1
292,0.452963131592806,0.01,1
293,0.4206775186196712,0.01,1
294,0.452963131592806,0.01,1
295,-21.50164655047836,0.01,1
296,0.452963131592806,0.01,1
297,0.4206775186196712,0.01,1
298,0.452963131592806,0.01,1
299,0.452963131592806,0.01,1
300,0.4206775186196712,0.01,1
301,0.452963131592806,0.01,1
302,0.452963131592806,0.01,1
303,-1.967933814143331,0.01,1
304,0.452963131592806,0.01,1
305,0.452963131592806,0.01,1
306,0.452963131592806,0.01,1
307,2.2529631315928063,0.01,1
308,-12.945723768457647,0.01,1
309,0.452963131592806,0.01,1
310,-1.967933814143331,0.01,1
311,0.452963131592806,0.01,1
312,0.452963131592806,0.01,1
313,0.4206775186196712,0.01,1
314,0.452963131592806,0.01,1
315,0.452963131592806,0.01,1
316,0.452963131592806,0.01,1
317,-2.735677309711411,0.01,1
318,0.452963131592806,0.01,1
319,0.452963131592806,0.01,1
320,-1.967933814143331,0.01,1
321,0.452963131592806,0.01,1
322,0.452963131592806,0.01,1
323,0.452963131592806,0.01,1
324,0.452963131592806,0.01,1
325,0.452963131592806,0.01,1
326,-0.025390312001283277,0.01,1
327,0.452963131592806,0.01,1
328,0.452963131592806,0.01,1
329,0.03902164285373244,0.01,1
330,0.452963131592806,0.01,1
331,0.452963131592806,0.01,1
332,0.452963131592806,0.01,1
333,0.452963131592806,0.01,1
334,0.452963131592806,0.01,1
335,0.452963131592806,0.01,1
336,0.452963131592806,0.01,1
337,0.452963131592806,0.01,1
338,0.452963131592806,0.01,1
339,0.452963131592806,0.01,1
340,-3.5296071142098855,0.01,1
341,0.4206775186196712,0.01,1
342,0.452963131592806,0.01,1
343,0.452963131592806,0.01,1
344,0.452963131592806,0.01,1
345,-1.4220839920123418,0.01,1
346,0.452963131592806,0.01,1
347,0.452963131592806,0.01,1
348,0.452963131592806,0.01,1
349,0.452963131592806,0.01,1
350,0.452963131592806,0.01,1
351,0.452963131592806,0.01,1
352,0.452963131592806,0.01,1
353,1.588550466688665,0.01,1
354,0.452963131592806,0.01,1
355,0.452963131592806,0.01,1
356,0.452963131592806,0.01,1
357,0.452963131592806,0.01,1
358,0.452963131592806,0.01,1
359,-6.188483840515229,0.01,1
